商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
豐藝,6189.TW,7,2015/01/23,買進,36.4,2015/04/29,賣出,38.75,60,0.058165,最大持有 60 期
居易,6216.TW,5,2015/01/23,買進,26.7,2015/04/29,賣出,31.75,60,0.181967,最大持有 60 期
勤美,1532.TW,9,2015/01/26,買進,33.1,2015/04/30,賣出,32,60,-0.039082,最大持有 60 期
喬山,1736.TW,8,2015/01/26,買進,73.1,2015/04/30,賣出,79.6,60,0.082409,最大持有 60 期
盟立,2464.TW,6,2015/01/26,買進,28.85,2015/04/30,賣出,29.95,60,0.031887,最大持有 60 期
華固,2548.TW,4,2015/01/26,買進,59.7,2015/04/30,賣出,70.2,60,0.168769,最大持有 60 期
神基,3005.TW,4,2015/01/26,買進,18.95,2015/04/30,賣出,18.85,60,-0.011268,最大持有 60 期
台灣大,3045.TW,9,2015/01/26,買進,107,2015/04/30,賣出,108,60,0.003327,最大持有 60 期
國眾,5410.TW,7,2015/01/26,買進,12.6,2015/04/30,賣出,13.2,60,0.04133,最大持有 60 期
崇越,5434.TW,6,2015/01/26,買進,57,2015/04/30,賣出,62.9,60,0.096886,最大持有 60 期
居易,6216.TW,6,2015/01/26,買進,26.25,2015/04/30,賣出,31.95,60,0.209837,最大持有 60 期
普萊德,6263.TW,7,2015/01/26,買進,46.8,2015/04/30,賣出,55.4,60,0.176691,最大持有 60 期
喬山,1736.TW,9,2015/01/27,買進,73.5,2015/05/04,賣出,80,60,0.081937,最大持有 60 期
群光,2385.TW,1,2015/01/27,買進,89.8,2015/05/04,賣出,90,60,-0.003754,最大持有 60 期
盟立,2464.TW,7,2015/01/27,買進,28.7,2015/05/04,賣出,29.95,60,0.037376,最大持有 60 期
台灣大,3045.TW,10,2015/01/27,買進,108,2015/05/04,賣出,108.5,60,-0.001389,最大持有 60 期
國眾,5410.TW,8,2015/01/27,買進,12.6,2015/05/04,賣出,13.1,60,0.033466,最大持有 60 期
崇越,5434.TW,7,2015/01/27,買進,56.6,2015/05/04,賣出,62.9,60,0.104655,最大持有 60 期
