商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
永裕,1323.TW,9,2015/02/02,買進,37.7,2015/05/08,賣出,35.5,60,-0.064027,最大持有 60 期
台產,2832.TW,5,2015/02/02,買進,22.5,2015/05/08,賣出,24.2,60,0.069147,最大持有 60 期
豐藝,6189.TW,9,2015/02/02,買進,36.35,2015/05/08,賣出,38.75,60,0.059694,最大持有 60 期
尼得科超眾,6230.TW,5,2015/02/02,買進,90,2015/05/08,賣出,91,60,0.005023,最大持有 60 期
普萊德,6263.TW,8,2015/02/02,買進,47.3,2015/05/08,賣出,56.7,60,0.191535,最大持有 60 期
良維,6290.TW,10,2015/02/02,買進,34.85,2015/05/08,賣出,28.95,60,-0.174314,最大持有 60 期
寶成,9904.TW,15,2015/02/02,買進,43.5,2015/05/08,賣出,44.15,60,0.008798,最大持有 60 期
永裕,1323.TW,10,2015/02/03,買進,37.5,2015/05/11,賣出,34.2,60,-0.093508,最大持有 60 期
台產,2832.TW,6,2015/02/03,買進,22.8,2015/05/11,賣出,24.3,60,0.059411,最大持有 60 期
豐藝,6189.TW,10,2015/02/03,買進,37,2015/05/11,賣出,37.75,60,0.01417,最大持有 60 期
尼得科超眾,6230.TW,6,2015/02/03,買進,89.8,2015/05/11,賣出,87.1,60,-0.035884,最大持有 60 期
普萊德,6263.TW,9,2015/02/03,買進,47.1,2015/05/11,賣出,58,60,0.224114,最大持有 60 期
南僑,1702.TW,5,2015/02/04,買進,57.9,2015/05/12,賣出,64,60,0.098703,最大持有 60 期
可成,2474.TW,6,2015/02/04,買進,290,2015/05/12,賣出,348,60,0.192805,最大持有 60 期
台產,2832.TW,7,2015/02/04,買進,23,2015/05/12,賣出,24.1,60,0.041542,最大持有 60 期
聯邦銀,2838.TW,9,2015/02/04,買進,10.5,2015/05/12,賣出,10.9,60,0.031891,最大持有 60 期
聚積,3527.TW,5,2015/02/04,買進,69,2015/05/12,賣出,62,60,-0.10684,最大持有 60 期
崇越,5434.TW,10,2015/02/04,買進,57.5,2015/05/12,賣出,60.9,60,0.052812,最大持有 60 期
豐藝,6189.TW,11,2015/02/04,買進,37.5,2015/05/12,賣出,37.65,60,-0.002031,最大持有 60 期
尼得科超眾,6230.TW,7,2015/02/04,買進,90.1,2015/05/12,賣出,88,60,-0.029192,最大持有 60 期
