商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
盟立,2464.TW,11,2015/01/26,買進,28.85,2015/04/30,賣出,29.95,60,0.031887,最大持有 60 期
皇翔,2545.TW,11,2015/01/26,買進,45.9,2015/04/30,賣出,44.4,60,-0.038491,最大持有 60 期
華固,2548.TW,11,2015/01/26,買進,59.7,2015/04/30,賣出,70.2,60,0.168769,最大持有 60 期
神基,3005.TW,8,2015/01/26,買進,18.95,2015/04/30,賣出,18.85,60,-0.011268,最大持有 60 期
台灣大,3045.TW,15,2015/01/26,買進,107,2015/04/30,賣出,108,60,0.003327,最大持有 60 期
同亨,5490.TW,11,2015/01/26,買進,56.6,2015/04/30,賣出,72.3,60,0.269698,最大持有 60 期
普萊德,6263.TW,11,2015/01/26,買進,46.8,2015/04/30,賣出,55.4,60,0.176691,最大持有 60 期
宏正,6277.TW,7,2015/01/26,買進,82.5,2015/04/30,賣出,90.7,60,0.092799,最大持有 60 期
大世科,8099.TW,9,2015/01/26,買進,24.2,2015/04/30,賣出,23.35,60,-0.041049,最大持有 60 期
勤美,1532.TW,12,2015/01/27,買進,32.6,2015/05/04,賣出,31.8,60,-0.030402,最大持有 60 期
中華化,1727.TW,5,2015/01/27,買進,19.45,2015/05/04,賣出,19.3,60,-0.013711,最大持有 60 期
友訊,2332.TW,12,2015/01/27,買進,18.2,2015/05/04,賣出,16,60,-0.12616,最大持有 60 期
盟立,2464.TW,12,2015/01/27,買進,28.7,2015/05/04,賣出,29.95,60,0.037376,最大持有 60 期
皇翔,2545.TW,12,2015/01/27,買進,45.35,2015/05/04,賣出,44.1,60,-0.033373,最大持有 60 期
華固,2548.TW,12,2015/01/27,買進,58.6,2015/05/04,賣出,71,60,0.20437,最大持有 60 期
神基,3005.TW,9,2015/01/27,買進,18.95,2015/05/04,賣出,18.9,60,-0.008567,最大持有 60 期
台灣大,3045.TW,16,2015/01/27,買進,108,2015/05/04,賣出,108.5,60,-0.001389,最大持有 60 期
同亨,5490.TW,12,2015/01/27,買進,56.3,2015/05/04,賣出,73.9,60,0.304809,最大持有 60 期
胡連,6279.TW,6,2015/01/27,買進,112.5,2015/05/04,賣出,156,60,0.378414,最大持有 60 期
大世科,8099.TW,10,2015/01/27,買進,23.15,2015/05/04,賣出,23.3,60,0.00041,最大持有 60 期
勤美,1532.TW,13,2015/01/28,買進,32.1,2015/05/05,賣出,31.35,60,-0.029225,最大持有 60 期
中華化,1727.TW,6,2015/01/28,買進,19,2015/05/05,賣出,19.2,60,0.00448,最大持有 60 期
五鼎,1733.TW,11,2015/01/28,買進,53.5,2015/05/05,賣出,54.2,60,0.007015,最大持有 60 期
盟立,2464.TW,13,2015/01/28,買進,29.1,2015/05/05,賣出,29.7,60,0.014514,最大持有 60 期
皇翔,2545.TW,13,2015/01/28,買進,45.45,2015/05/05,賣出,44,60,-0.037668,最大持有 60 期
華固,2548.TW,13,2015/01/28,買進,59.4,2015/05/05,賣出,71,60,0.188107,最大持有 60 期
神基,3005.TW,10,2015/01/28,買進,19.2,2015/05/05,賣出,18.75,60,-0.029288,最大持有 60 期
台灣大,3045.TW,17,2015/01/28,買進,107,2015/05/05,賣出,108,60,0.003341,最大持有 60 期
同亨,5490.TW,13,2015/01/28,買進,57.2,2015/05/05,賣出,75.3,60,0.308526,最大持有 60 期
普萊德,6263.TW,12,2015/01/28,買進,46.8,2015/05/05,賣出,58.9,60,0.250971,最大持有 60 期
