商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
光寶科,2301.TW,1,2015/10/20,買進,33.65,2016/01/13,賣出,30.5,60,-0.097233,最大持有 60 期
台虹,8039.TW,2,2015/10/20,買進,39.85,2016/01/13,賣出,34.8,60,-0.130232,最大持有 60 期
優群,3217.TW,1,2015/10/21,買進,12.9,2016/01/14,賣出,12.5,60,-0.034887,最大持有 60 期
擎亞,8096.TW,2,2015/10/21,買進,19.2,2016/01/14,賣出,18.7,60,-0.029904,最大持有 60 期
威健,3033.TW,1,2015/10/23,買進,19.7,2016/01/18,賣出,18.2,60,-0.079839,最大持有 60 期
金山電,8042.TW,1,2015/10/23,買進,39.05,2016/01/18,賣出,37.1,60,-0.053728,最大持有 60 期
蜜望實,8043.TW,1,2015/10/23,買進,14.2,2016/01/18,賣出,14.0,60,-0.018017,最大持有 60 期
好德,3114.TW,1,2015/10/26,買進,13.6,2016/01/19,賣出,11.75,60,-0.139482,最大持有 60 期
台汽電,8926.TW,1,2015/10/29,買進,22.8,2016/01/22,賣出,22.7,60,-0.008364,最大持有 60 期
達欣工,2535.TW,1,2015/11/04,買進,14.85,2016/01/28,賣出,14.0,60,-0.060994,最大持有 60 期
聯發科,2454.TW,1,2015/11/05,買進,307.0,2016/01/29,賣出,206.5,60,-0.330095,最大持有 60 期
台嘉碩,3221.TW,1,2015/11/09,買進,16.85,2016/02/01,賣出,23.55,60,0.392137,最大持有 60 期
茂達,6138.TW,1,2015/11/09,買進,22.0,2016/02/01,賣出,20.25,60,-0.083275,最大持有 60 期
耿鼎,1524.TW,1,2015/11/11,買進,5.82,2016/02/03,賣出,6.5,60,0.11236,最大持有 60 期
台半,5425.TW,1,2015/11/11,買進,33.25,2016/02/03,賣出,33.0,60,-0.011588,最大持有 60 期
加高,8182.TW,1,2015/11/12,買進,12.6,2016/02/15,賣出,12.6,60,-0.003996,最大持有 60 期
五鼎,1733.TW,2,2015/11/17,買進,44.1,2016/02/18,賣出,44.2,60,-0.001653,最大持有 60 期
華擎,3515.TW,1,2015/11/18,買進,51.5,2016/02/19,賣出,42.8,60,-0.172345,最大持有 60 期
震旦行,2373.TW,2,2015/11/23,買進,52.0,2016/02/24,賣出,54.2,60,0.038139,最大持有 60 期
融程電,3416.TW,2,2015/11/23,買進,58.0,2016/02/24,賣出,53.5,60,-0.081266,最大持有 60 期
方土霖,4527.TW,1,2015/11/25,買進,23.0,2016/02/26,賣出,24.95,60,0.080443,最大持有 60 期
超豐,2441.TW,1,2015/12/08,買進,34.6,2016/03/11,賣出,37.05,60,0.066493,最大持有 60 期
旺宏,2337.TW,1,2015/12/09,買進,4.72,2016/03/14,賣出,4.45,60,-0.060991,最大持有 60 期
翔名,8091.TW,3,2015/12/09,買進,68.9,2016/03/14,賣出,63.2,60,-0.086469,最大持有 60 期
幃翔,6185.TW,1,2015/12/10,買進,24.2,2016/03/15,賣出,24.3,60,0.000132,最大持有 60 期
欣技,6160.TW,1,2015/12/15,買進,17.1,2016/03/18,賣出,16.75,60,-0.024417,最大持有 60 期
盛群,6202.TW,1,2015/12/22,買進,51.8,2016/03/25,賣出,52.9,60,0.017151,最大持有 60 期
堡達,3537.TW,1,2016/01/06,買進,19.2,2016/04/12,賣出,20.7,60,0.073844,最大持有 60 期
固緯,2423.TW,1,2016/01/12,買進,17.3,2016/04/18,賣出,18.85,60,0.085241,最大持有 60 期
智易,3596.TW,1,2016/01/14,買進,39.15,2016/04/20,賣出,47.9,60,0.21854,最大持有 60 期
金山電,8042.TW,2,2016/01/20,買進,41.8,2016/04/26,賣出,41.6,60,-0.008833,最大持有 60 期
漢唐,2404.TW,2,2016/01/21,買進,43.1,2016/04/27,賣出,46.85,60,0.082643,最大持有 60 期
晉泰,6221.TW,1,2016/01/21,買進,25.25,2016/04/27,賣出,25.15,60,-0.00796,最大持有 60 期
大恭,4706.TW,1,2016/02/01,買進,15.55,2016/05/10,賣出,18.3,60,0.172131,最大持有 60 期
橋椿,2062.TW,1,2016/02/02,買進,46.4,2016/05/11,賣出,44.25,60,-0.050198,最大持有 60 期
台嘉碩,3221.TW,2,2016/02/02,買進,24.0,2016/05/11,賣出,24.7,60,0.025054,最大持有 60 期
閎康,3587.TW,2,2016/02/03,買進,58.2,2016/05/12,賣出,68.6,60,0.174004,最大持有 60 期
百一,6152.TW,1,2016/02/03,買進,7.8,2016/05/12,賣出,10.0,60,0.276868,最大持有 60 期
友通,2397.TW,1,2016/02/16,買進,46.0,2016/05/16,賣出,58.5,60,0.266621,最大持有 60 期
特力,2908.TW,1,2016/02/16,買進,20.2,2016/05/16,賣出,19.4,60,-0.043404,最大持有 60 期
群益期,6024.TW,1,2016/02/16,買進,31.9,2016/05/16,賣出,33.95,60,0.060014,最大持有 60 期
飛捷,6206.TW,2,2016/02/16,買進,102.5,2016/05/16,賣出,106.0,60,0.030063,最大持有 60 期
匯僑,2904.TW,2,2016/02/19,買進,27.0,2016/05/19,賣出,26.85,60,-0.009533,最大持有 60 期
中興電,1513.TW,1,2016/02/22,買進,18.6,2016/05/20,賣出,17.65,60,-0.054827,最大持有 60 期
崇越,5434.TW,2,2016/02/22,買進,57.8,2016/05/20,賣出,60.5,60,0.042512,最大持有 60 期
博大,8109.TW,1,2016/02/23,買進,72.2,2016/05/23,賣出,64.2,60,-0.114352,最大持有 60 期
日揚,6208.TW,1,2016/02/24,買進,11.7,2016/05/24,賣出,11.8,60,0.004508,最大持有 60 期
揚博,2493.TW,1,2016/02/26,買進,23.0,2016/05/26,賣出,26.5,60,0.14757,最大持有 60 期
宏普,2536.TW,1,2016/03/01,買進,22.2,2016/05/27,賣出,26.3,60,0.179961,最大持有 60 期
聯華,1229.TW,1,2016/03/02,買進,19.7,2016/05/30,賣出,20.75,60,0.049096,最大持有 60 期
臺企銀,2834.TW,1,2016/03/02,買進,8.35,2016/05/30,賣出,8.09,60,-0.035009,最大持有 60 期
華南金,2880.TW,1,2016/03/02,買進,15.55,2016/05/30,賣出,16.35,60,0.047252,最大持有 60 期
全國電,6281.TW,1,2016/03/02,買進,58.5,2016/05/30,賣出,59.3,60,0.009621,最大持有 60 期
通嘉,3588.TW,1,2016/03/03,買進,30.85,2016/05/31,賣出,29.6,60,-0.044375,最大持有 60 期
新巨,2420.TW,1,2016/03/04,買進,46.5,2016/06/01,賣出,39.4,60,-0.156026,最大持有 60 期
前鼎,4908.TW,1,2016/03/04,買進,19.4,2016/06/01,賣出,17.75,60,-0.088717,最大持有 60 期
茂達,6138.TW,2,2016/03/04,買進,24.2,2016/06/01,賣出,24.2,60,-0.003956,最大持有 60 期
詩肯,6195.TW,1,2016/03/04,買進,52.3,2016/06/01,賣出,48.1,60,-0.083971,最大持有 60 期
永信,3705.TW,1,2016/03/07,買進,49.7,2016/06/02,賣出,47.15,60,-0.055114,最大持有 60 期
高技,5439.TW,1,2016/03/07,買進,20.2,2016/06/02,賣出,24.7,60,0.21788,最大持有 60 期
長虹,5534.TW,1,2016/03/09,買進,48.0,2016/06/04,賣出,58.1,60,0.205567,最大持有 60 期
德淵,4720.TW,1,2016/03/10,買進,17.35,2016/06/06,賣出,16.6,60,-0.047029,最大持有 60 期
全科,3209.TW,2,2016/04/08,買進,30.95,2016/07/05,賣出,30.45,60,-0.020106,最大持有 60 期
協益,5356.TW,1,2016/04/08,買進,44.8,2016/07/05,賣出,39.5,60,-0.032458,最大持有 60 期
卜蜂,1215.TW,1,2016/04/11,買進,26.05,2016/07/06,賣出,37.95,60,0.524752,最大持有 60 期
長興,1717.TW,1,2016/04/11,買進,33.1,2016/07/06,賣出,35.3,60,0.062194,最大持有 60 期
類比科,3438.TW,1,2016/04/11,買進,22.25,2016/07/06,賣出,19.6,60,-0.108488,最大持有 60 期
聚積,3527.TW,2,2016/04/11,買進,55.4,2016/07/06,賣出,73.0,60,0.312356,最大持有 60 期
競國,6108.TW,1,2016/04/11,買進,16.05,2016/07/06,賣出,15.45,60,-0.041218,最大持有 60 期
廣積,8050.TW,2,2016/04/11,買進,59.1,2016/07/06,賣出,65.4,60,0.102139,最大持有 60 期
京元電子,2449.TW,1,2016/04/12,買進,27.75,2016/07/07,賣出,28.4,60,0.019296,最大持有 60 期
蔚華科,3055.TW,1,2016/04/12,買進,19.7,2016/07/07,賣出,18.2,60,-0.079892,最大持有 60 期
台星科,3265.TW,1,2016/04/12,買進,22.9,2016/07/07,賣出,24.45,60,0.075442,最大持有 60 期
居易,6216.TW,1,2016/04/12,買進,31.95,2016/07/07,賣出,29.35,60,-0.085151,最大持有 60 期
崑鼎,6803.TW,1,2016/04/12,買進,179.5,2016/07/07,賣出,179.0,60,-0.006776,最大持有 60 期
勤誠,8210.TW,1,2016/04/12,買進,48.5,2016/07/07,賣出,58.5,60,0.201351,最大持有 60 期
瑞昱,2379.TW,2,2016/04/14,買進,87.9,2016/07/12,賣出,107.5,60,0.218102,最大持有 60 期
矽格,6257.TW,1,2016/04/14,買進,24.75,2016/07/12,賣出,23.9,60,-0.03821,最大持有 60 期
研通,6229.TW,1,2016/04/15,買進,13.55,2016/07/13,賣出,12.5,60,-0.077643,最大持有 60 期
倍微,6270.TW,1,2016/04/15,買進,10.55,2016/07/13,賣出,10.9,60,0.029233,最大持有 60 期
皇翔,2545.TW,2,2016/04/18,買進,29.5,2016/07/14,賣出,37.95,60,0.281274,最大持有 60 期
瀚荃,8103.TW,1,2016/04/18,買進,27.2,2016/07/14,賣出,23.9,60,-0.124838,最大持有 60 期
宏正,6277.TW,2,2016/04/20,買進,80.5,2016/07/18,賣出,82.0,60,0.078871,最大持有 60 期
盛群,6202.TW,2,2016/04/26,買進,52.8,2016/07/22,賣出,54.6,60,0.029947,最大持有 60 期
第一金,2892.TW,1,2016/04/28,買進,15.9,2016/07/26,賣出,17.5,60,0.096196,最大持有 60 期
富爾特,6136.TW,1,2016/04/29,買進,24.15,2016/07/27,賣出,23.1,60,0.041618,最大持有 60 期
崇越,5434.TW,3,2016/05/24,買進,62.0,2016/08/18,賣出,74.8,60,0.288536,最大持有 60 期
瑞穎,8083.TW,1,2016/05/27,買進,141.5,2016/08/23,賣出,166.5,60,0.238929,最大持有 60 期
高技,5439.TW,2,2016/06/03,買進,24.5,2016/08/30,賣出,31.0,60,0.329028,最大持有 60 期
凌通,4952.TW,1,2016/06/08,買進,43.75,2016/09/05,賣出,40.4,60,-0.007253,最大持有 60 期
達欣工,2535.TW,2,2016/06/13,買進,16.7,2016/09/06,賣出,17.1,60,0.083795,最大持有 60 期
中菲行,5609.TW,1,2016/06/13,買進,17.25,2016/09/06,賣出,18.95,60,0.15757,最大持有 60 期
年興,1451.TW,1,2016/06/14,買進,24.8,2016/09/07,賣出,24.0,60,0.025666,最大持有 60 期
錩新,2415.TW,1,2016/06/20,買進,13.95,2016/09/12,賣出,20.6,60,0.558317,最大持有 60 期
敦吉,2459.TW,1,2016/06/20,買進,34.2,2016/09/12,賣出,35.0,60,0.092964,最大持有 60 期
瑞智,4532.TW,1,2016/06/20,買進,26.2,2016/09/12,賣出,36.05,60,0.458023,最大持有 60 期
至上,8112.TW,1,2016/06/21,買進,15.05,2016/09/13,賣出,19.45,60,0.351733,最大持有 60 期
福興,9924.TW,1,2016/06/21,買進,48.5,2016/09/13,賣出,43.6,60,-0.054698,最大持有 60 期
晟銘電,3013.TW,1,2016/06/22,買進,14.6,2016/09/14,賣出,17.3,60,0.203113,最大持有 60 期
普萊德,6263.TW,2,2016/06/22,買進,48.2,2016/09/14,賣出,46.95,60,0.047945,最大持有 60 期
亞弘電,6201.TW,1,2016/06/24,買進,27.75,2016/09/20,賣出,32.35,60,0.247079,最大持有 60 期
晶睿,3454.TW,2,2016/06/28,買進,82.8,2016/09/22,賣出,85.6,60,0.117237,最大持有 60 期
通泰,5487.TW,1,2016/06/29,買進,24.7,2016/09/23,賣出,25.3,60,0.095098,最大持有 60 期
日勝生,2547.TW,1,2016/06/30,買進,10.4,2016/09/26,賣出,9.98,60,-0.044219,最大持有 60 期
美律,2439.TW,2,2016/07/06,買進,72.0,2016/10/04,賣出,135.0,60,0.930161,最大持有 60 期
瑞軒,2489.TW,3,2016/07/06,買進,22.55,2016/10/04,賣出,23.9,60,0.145296,最大持有 60 期
博大,8109.TW,2,2016/07/06,買進,69.7,2016/10/04,賣出,66.0,60,0.007623,最大持有 60 期
名軒,1442.TW,2,2016/07/11,買進,21.25,2016/10/06,賣出,19.3,60,0.041224,最大持有 60 期
聲寶,1604.TW,1,2016/07/11,買進,14.05,2016/10/06,賣出,17.8,60,0.340046,最大持有 60 期
微星,2377.TW,2,2016/07/11,買進,61.0,2016/10/06,賣出,82.5,60,0.419238,最大持有 60 期
